stations,id_bss,code_stations,date,vigilance,alerte,alerte_renforcee,crise
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-02-01,140.82000000000002,140.52,140.36,140.23
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-03-01,140.75,140.45000000000002,140.29,140.17
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-04-01,140.7,140.44,140.3,140.19
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-05-01,140.67,140.43,140.3,140.2
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-06-01,140.58,140.35000000000002,140.23,140.14
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-07-01,140.28,140.04,139.91,139.81
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-08-01,140.10999999999999,139.85000000000002,139.70999999999998,139.6
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-09-01,140.26,140,139.87,139.76
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-10-01,140.5,140.18,140.01,139.87
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-11-01,140.72,140.31,140.1,139.93
PIEZOMETRE - LES BALMES (ROMANS SUR ISERE - BRGM 26) - BSH,BSS001XMKQ,07948X0038/S,2025-12-01,140.83,140.47,140.28,140.12
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-01-01,138.1,137.31,136.9,136.56
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-02-01,138.07,137.29,136.88000000000002,136.55
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-03-01,137.99,137.25,136.87,136.55
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-04-01,137.93,137.26,136.91,136.62
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-05-01,137.91,137.33,137.03,136.78
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-06-01,137.93,137.37,137.08,136.83
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-07-01,137.84,137.32000000000002,137.05,136.83
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-08-01,137.72,137.26,137.02,136.82000000000002
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-09-01,137.64,137.23,137.02,136.85000000000002
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-10-01,137.64,137.18,136.94,136.73999999999998
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-11-01,137.73,137.1,136.76,136.49
PIEZOMETRE - FERME AGIRON (VALENCE - BRGM 26) - BSH,BSS001YZBF,08184X0084/PZ1,2025-12-01,137.98000000000002,137.17,136.75,136.41
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-01-01,268.53,267.37,266.77,266.27
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-02-01,268.87,267.97999999999996,267.52,267.14000000000004
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-03-01,268.96,268.27,267.90999999999997,267.62
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-04-01,268.84000000000003,268.28,267.97999999999996,267.74
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-05-01,268.71999999999997,267.98999999999995,267.61,267.28999999999996
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-06-01,268.55,267.69,267.25,266.88
Forage - l Hotel (Charpey - BRGM 26),BSS001ZAMA,08191X0022/P,2025-07-01,267.94,267.3,266.96,266.68
