stations;Id_bss;code_stations;date;Vigilance;Alerte;Alerte renforcee;Crise
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Janvier;164.14;163.87;163.74;163.62
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Février;164.15;163.89;163.75;163.63
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Mars;164.13;163.88;163.75;163.64
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Avril;164.1;163.84;163.7;163.59
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Mai;164.08;163.81;163.68;163.56
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Juin;163.97;163.71;163.57;163.46
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Juillet;163.72;163.46;163.32;163.2
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Août;163.65;163.39;163.25;163.14
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Septembre;163.8;163.57;163.45;163.35
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Octobre;163.9;163.67;163.55;163.45
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Novembre;163.99;163.74;163.62;163.51
FORAGE - MAUPAS (ROMANS SUR ISERE - 26);BSS001XMKZ;07948X0047/F1;Décembre;164.04;163.79;163.66;163.55
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Janvier;250.21;249.96;249.83;249.72
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Février;250.28;250.01;249.87;249.75
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Mars;250.3;249.98;249.81;249.67
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Avril;250.29;249.99;249.83;249.7
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Mai;250.29;249.99;249.83;249.7
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Juin;250.26;249.97;249.82;249.69
Saint-Bonnet-de-Chavagne [Puits - Fontchaude];BSS001XNAA;07953X0104/P;Juillet;250.16;249.88;249.73;249.61
